Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
D,Brandon Carlo (14310388),Brandon Carlo,14310388,D/UTIL,3700,BOS@EDM 02/19/2020 08:30PM ET,BOS,6.18
RW,Josh Bailey (14310064),Josh Bailey,14310064,W/UTIL,3700,NYI@COL 02/19/2020 10:00PM ET,NYI,7.06
D,Devon Toews (14310390),Devon Toews,14310390,D/UTIL,3700,NYI@COL 02/19/2020 10:00PM ET,NYI,6.66
C,Adam Gaudette (14309828),Adam Gaudette,14309828,C/UTIL,3700,MIN@VAN 02/19/2020 10:30PM ET,VAN,5.80
RW,Josh Leivo (14310066),Josh Leivo,14310066,W/UTIL,3700,MIN@VAN 02/19/2020 10:30PM ET,VAN,6.61
D,Jonas Brodin (14310392),Jonas Brodin,14310392,D/UTIL,3700,MIN@VAN 02/19/2020 10:30PM ET,MIN,6.96
RW,Dylan Strome (14310068),Dylan Strome,14310068,W/UTIL,3600,NYR@CHI 02/19/2020 08:00PM ET,CHI,7.30
D,Erik Gustafsson (14310396),Erik Gustafsson,14310396,D/UTIL,3600,NYR@CHI 02/19/2020 08:00PM ET,CHI,6.39
C,Radek Faksa (14309830),Radek Faksa,14309830,C/UTIL,3600,ARI@DAL 02/19/2020 08:30PM ET,DAL,5.98
D,Adam Pelech (14310398),Adam Pelech,14310398,D/UTIL,3600,NYI@COL 02/19/2020 10:00PM ET,NYI,7.26
D,Johnny Boychuk (14310408),Johnny Boychuk,14310408,D/UTIL,3600,NYI@COL 02/19/2020 10:00PM ET,NYI,7.10
LW,Nick Ritchie (14310070),Nick Ritchie,14310070,W/UTIL,3600,FLA@ANH 02/19/2020 10:00PM ET,ANH,5.55
C,Andrew Shaw (14309832),Andrew Shaw,14309832,C/UTIL,3500,NYR@CHI 02/19/2020 08:00PM ET,CHI,5.66
RW,Jesper Fast (14310074),Jesper Fast,14310074,W/UTIL,3500,NYR@CHI 02/19/2020 08:00PM ET,NYR,5.52
RW,Corey Perry (14310072),Corey Perry,14310072,W/UTIL,3500,ARI@DAL 02/19/2020 08:30PM ET,DAL,4.92
D,Mike Matheson (14310400),Mike Matheson,14310400,D/UTIL,3500,FLA@ANH 02/19/2020 10:00PM ET,FLA,6.62
D,Riley Stillman (14310402),Riley Stillman,14310402,D/UTIL,3500,FLA@ANH 02/19/2020 10:00PM ET,FLA,6.72
